vsim -c LLC_Cache -do "run -all" +trace_file=./traces/t7.din
# End time: 20:59:26 on Dec 09,2024, Elapsed time: 0:00:46
# Errors: 0, Warnings: 1
# vsim -c LLC_Cache -do "run -all" "+trace_file=./traces/t7.din" 
# Start time: 20:59:26 on Dec 09,2024
# ** Note: (vsim-8009) Loading existing optimized design _opt3
# Loading sv_std.std
# Loading work.pkg_line(fast)
# Loading work.pkg_bus(fast)
# Loading work.pkg_plru(fast)
# Loading work.TOP_sv_unit(fast)
# Loading work.LLC_Cache(fast)
# run -all
# Write request from L1 data cache, Address: 00000000
# 
# before
# after
# Cache miss for address 00000000
# Found Invalid MESI state in Way: 0
# the victim way found is = 0
# Updating for Way:           0 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 0
# Busop: RWIM, Address: 00000000, Snoop Result: HIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00200001
# 
# before
# after
# Cache miss for address 00200001
# Found Invalid MESI state in Way: 1
# the victim way found is = 1
# Updating for Way:           1 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 0
# PLRU BitUpdated PLRU[          7] = 1
# Busop: RWIM, Address: 00200001, Snoop Result: HITM
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00400002
# 
# before
# after
# Cache miss for address 00400002
# Found Invalid MESI state in Way: 2
# the victim way found is = 2
# Updating for Way:           2 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 0
# Busop: RWIM, Address: 00400002, Snoop Result: NOHIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00600003
# 
# before
# after
# Cache miss for address 00600003
# Found Invalid MESI state in Way: 3
# the victim way found is = 3
# Updating for Way:           3 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 0
# PLRU BitUpdated PLRU[          3] = 1
# PLRU BitUpdated PLRU[          8] = 1
# Busop: RWIM, Address: 00600003, Snoop Result: NOHIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00800004
# 
# before
# after
# Cache miss for address 00800004
# Found Invalid MESI state in Way: 4
# the victim way found is = 4
# Updating for Way:           4 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 0
# Busop: RWIM, Address: 00800004, Snoop Result: HIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00a00005
# 
# before
# after
# Cache miss for address 00a00005
# Found Invalid MESI state in Way: 5
# the victim way found is = 5
# Updating for Way:           5 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 0
# PLRU BitUpdated PLRU[          9] = 1
# Busop: RWIM, Address: 00a00005, Snoop Result: HITM
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00c00006
# 
# before
# after
# Cache miss for address 00c00006
# Found Invalid MESI state in Way: 6
# the victim way found is = 6
# Updating for Way:           6 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 0
# Busop: RWIM, Address: 00c00006, Snoop Result: NOHIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 00e00007
# 
# before
# after
# Cache miss for address 00e00007
# Found Invalid MESI state in Way: 7
# the victim way found is = 7
# Updating for Way:           7 
# 
# 
# PLRU BitUpdated PLRU[          0] = 0
# PLRU BitUpdated PLRU[          1] = 1
# PLRU BitUpdated PLRU[          4] = 1
# PLRU BitUpdated PLRU[         10] = 1
# Busop: RWIM, Address: 00e00007, Snoop Result: NOHIT
# L2: SENDLINE 00000000
# Write request from L1 data cache, Address: 01000000
# 
# before
# after
# Cache miss for address 01000000
# Found Invalid MESI state in Way: 8
# the victim way found is = 8
# Updating for Way:           8 
# 
# 
# PLRU BitUpdated PLRU[          0] = 1
# PLRU BitUpdated PLRU[          2] = 0
